payment_id,issuer,payment_method,amount_inr,status,error_reason,hour_of_day,day_of_month
pay_northwind_0391,Bank of Baroda,upi,750.5,captured,,3,16
pay_northwind_0392,State Bank of India,upi,396.75,failed,credit_limit_exceeded,23,11
pay_northwind_0393,Central Bank of India,card,189.57,captured,,13,9
pay_northwind_0394,Fino Payments Bank Ltd.,upi,216.47,failed,payment_cancelled,1,3
pay_northwind_0395,State Bank of India,upi,4603.52,captured,,23,18
pay_northwind_0396,ICICI Bank Ltd.,upi,34.91,captured,,0,28
pay_northwind_0397,State Bank of India,upi,71.91,captured,,0,4
pay_northwind_0398,Indusind Bank Ltd.,upi,929.42,captured,,18,18
pay_northwind_0399,Axis Bank Ltd.,upi,806.76,captured,,1,20
pay_northwind_0400,Federal Bank Ltd.,upi,939.86,captured,,1,21
pay_northwind_0401,State Bank of India,upi,2373.81,captured,,17,10
pay_northwind_0402,UCO Bank,upi,866.4,captured,,6,4
pay_northwind_0403,Canara Bank,card,35.37,captured,,0,16
pay_northwind_0404,Canara Bank,upi,250.12,captured,,1,4
pay_northwind_0405,Punjab National Bank,upi,964.53,failed,debit_declined,3,11
pay_northwind_0406,Canara Bank,upi,846.37,captured,,1,23
pay_northwind_0407,Airtel Payments Bank Limited,upi,178.83,captured,,3,1
pay_northwind_0408,Union Bank of India,upi,935.01,captured,,23,9
pay_northwind_0409,Canara Bank,upi,3488.48,failed,mobile_number_invalid,2,5
pay_northwind_0410,HDFC Bank Ltd.,upi,750.16,captured,,2,2
pay_northwind_0411,Canara Bank,upi,686.41,captured,,23,14
pay_northwind_0412,HDFC Bank Ltd.,netbanking,340.25,failed,transaction_limit_exceeded,3,11
pay_northwind_0413,State Bank of India,upi,819.41,captured,,3,25
pay_northwind_0414,Punjab National Bank,card,117.87,failed,payment_declined,12,18
pay_northwind_0415,Canara Bank,upi,254.61,captured,,20,7
pay_northwind_0416,Punjab National Bank,upi,293.79,captured,,23,13
pay_northwind_0417,Kotak Mahindra Bank,upi,261.78,captured,,2,6
pay_northwind_0418,Indian Bank,upi,468.72,captured,,22,24
pay_northwind_0419,Bank of Maharashtra,upi,90.69,captured,,23,2
pay_northwind_0420,India Post Payments Bank Limited,upi,429.03,failed,debit_declined,0,2
pay_northwind_0421,Bank of Baroda,upi,424.14,failed,order_already_paid,4,9
pay_northwind_0422,ICICI Bank Ltd.,upi,110.64,captured,,2,21
pay_northwind_0423,State Bank of India,upi,4078.11,captured,,5,7
pay_northwind_0424,State Bank of India,upi,338.04,captured,,0,10
pay_northwind_0425,Kotak Mahindra Bank,card,624.99,captured,,11,2
pay_northwind_0426,Kotak Mahindra Bank,upi,37.58,captured,,1,22
pay_northwind_0427,State Bank of India,upi,369.04,captured,,16,17
pay_northwind_0428,Bank of Baroda,upi,21842.28,failed,payment_collect_request_expired,2,4
pay_northwind_0429,State Bank of India,upi,260.89,captured,,1,24
pay_northwind_0430,Canara Bank,upi,413.38,captured,,0,12
pay_northwind_0431,ICICI Bank Ltd.,upi,54.01,captured,,0,26
pay_northwind_0432,State Bank of India,upi,878.45,captured,,18,16
pay_northwind_0433,Indian Overseas Bank,card,870.58,captured,,3,15
pay_northwind_0434,ICICI Bank Ltd.,upi,540.5,captured,,13,16
pay_northwind_0435,Indian Bank,upi,432.65,captured,,3,3
pay_northwind_0436,Bank of Baroda,upi,330.59,captured,,1,10
pay_northwind_0437,HDFC Bank Ltd.,upi,164.91,captured,,12,22
pay_northwind_0438,Bank of Baroda,upi,66.81,captured,,1,12
pay_northwind_0439,State Bank of India,upi,671.17,captured,,2,10
pay_northwind_0440,Kotak Mahindra Bank,upi,3479.63,captured,,3,18
pay_northwind_0441,Bank Of India,card,354.75,failed,transaction_limit_exceeded,2,7
pay_northwind_0442,India Post Payments Bank Limited,card,755.48,failed,mobile_number_invalid,7,6
pay_northwind_0443,Axis Bank Ltd.,upi,324.03,failed,collect_request_pending,4,1
pay_northwind_0444,State Bank of India,netbanking,937.89,captured,,2,24
pay_northwind_0445,State Bank of India,upi,278.09,captured,,0,26
pay_northwind_0446,State Bank of India,upi,241.89,captured,,1,26
pay_northwind_0447,State Bank of India,upi,162.47,captured,,4,6
pay_northwind_0448,State Bank of India,upi,967.34,failed,debit_declined,5,27
pay_northwind_0449,HDFC Bank Ltd.,upi,51.64,captured,,23,17
pay_northwind_0450,Federal Bank Ltd.,upi,754.28,captured,,4,8
pay_northwind_0451,Fino Payments Bank Ltd.,upi,4771.18,captured,,23,6
pay_northwind_0452,HDFC Bank Ltd.,upi,255.93,captured,,2,16
pay_northwind_0453,Indian Bank,upi,190.52,captured,,23,8
pay_northwind_0454,Airtel Payments Bank Limited,upi,1854.5,failed,invalid_currency,0,25
pay_northwind_0455,State Bank of India,upi,438.36,captured,,0,6
pay_northwind_0456,HDFC Bank Ltd.,upi,470.53,captured,,1,28
pay_northwind_0457,State Bank of India,card,666.82,captured,,5,5
pay_northwind_0458,State Bank of India,upi,730.5,captured,,20,14
pay_northwind_0459,Indian Overseas Bank,upi,71.96,captured,,5,18
pay_northwind_0460,State Bank of India,upi,118.54,captured,,2,1
pay_northwind_0461,Indian Overseas Bank,upi,452.31,captured,,22,17
pay_northwind_0462,Kotak Mahindra Bank,upi,608.68,captured,,21,18
pay_northwind_0463,India Post Payments Bank Limited,upi,498.62,captured,,1,18
pay_northwind_0464,State Bank of India,upi,503.28,captured,,2,28
pay_northwind_0465,State Bank of India,upi,555.25,captured,,0,21
pay_northwind_0466,Kotak Mahindra Bank,upi,888.38,captured,,4,22
pay_northwind_0467,State Bank of India,card,108.12,captured,,1,10
pay_northwind_0468,State Bank of India,card,624.59,captured,,5,9
pay_northwind_0469,Central Bank of India,upi,4690.25,captured,,23,13
pay_northwind_0470,Axis Bank Ltd.,upi,995.88,captured,,3,23
pay_northwind_0471,Indian Bank,upi,408.19,captured,,2,14
pay_northwind_0472,State Bank of India,upi,459.2,failed,payment_pending,23,7
pay_northwind_0473,Bank of Baroda,upi,3690.53,captured,,0,27
pay_northwind_0474,State Bank of India,upi,443.06,captured,,2,15
pay_northwind_0475,Bank Of India,upi,946.89,captured,,1,3
pay_northwind_0476,Indian Overseas Bank,upi,723.83,captured,,0,3
pay_northwind_0477,Axis Bank Ltd.,upi,803.54,captured,,2,9
pay_northwind_0478,State Bank of India,upi,111.55,captured,,19,17
pay_northwind_0479,State Bank of India,upi,720.94,captured,,11,14
pay_northwind_0480,HDFC Bank Ltd.,upi,265.44,captured,,2,23
pay_northwind_0481,Punjab National Bank,upi,1993.76,failed,transaction_daily_count_exceeded,3,26
pay_northwind_0482,Union Bank of India,upi,802.07,captured,,23,14
pay_northwind_0483,Airtel Payments Bank Limited,upi,15546.11,captured,,22,1
pay_northwind_0484,Kotak Mahindra Bank,upi,355.15,captured,,4,19
pay_northwind_0485,Bank of Baroda,upi,450.66,captured,,17,17
pay_northwind_0486,State Bank of India,upi,8.09,captured,,4,17
pay_northwind_0487,HDFC Bank Ltd.,upi,633.01,captured,,5,26
pay_northwind_0488,Punjab National Bank,upi,883.87,captured,,2,25
pay_northwind_0489,Canara Bank,upi,145.94,captured,,5,6
pay_northwind_0490,Bank of Baroda,upi,219.67,failed,incorrect_otp,12,21
pay_northwind_0491,Union Bank of India,upi,954.95,captured,,5,16
pay_northwind_0492,Axis Bank Ltd.,upi,94.09,captured,,12,20
pay_northwind_0493,Indian Overseas Bank,upi,189.1,failed,mismatch_in_transaction_details,4,20
pay_northwind_0494,Union Bank of India,netbanking,146.08,captured,,17,20
pay_northwind_0495,Union Bank of India,upi,519.71,captured,,2,15
pay_northwind_0496,Axis Bank Ltd.,upi,475.86,captured,,2,19
pay_northwind_0497,Axis Bank Ltd.,upi,189.75,captured,,1,18
pay_northwind_0498,Bank of Maharashtra,upi,346.62,captured,,3,14
pay_northwind_0499,Bank of Maharashtra,upi,735.17,failed,payment_pending,0,25
pay_northwind_0500,Canara Bank,upi,47.36,captured,,4,12
pay_northwind_0501,Bank of Baroda,upi,106.54,captured,,23,6
pay_northwind_0502,HDFC Bank Ltd.,upi,43.19,captured,,2,6
pay_northwind_0503,Bank of Baroda,upi,4119.19,captured,,4,27
pay_northwind_0504,State Bank of India,card,421.76,failed,invalid_response_from_gateway,1,1
pay_northwind_0505,State Bank of India,upi,322.6,captured,,3,7
pay_northwind_0506,Kotak Mahindra Bank,upi,815.8,captured,,9,5
pay_northwind_0507,Indian Overseas Bank,upi,164.95,captured,,20,11
pay_northwind_0508,ICICI Bank Ltd.,upi,58.4,captured,,3,11
pay_northwind_0509,State Bank of India,upi,947.51,captured,,11,1
pay_northwind_0510,Federal Bank Ltd.,upi,1740.14,captured,,1,2
pay_northwind_0511,UCO Bank,upi,4971.83,failed,transaction_limit_exceeded,23,1
pay_northwind_0512,Kotak Mahindra Bank,upi,105.79,captured,,0,19
pay_northwind_0513,State Bank of India,upi,650.9,captured,,3,12
pay_northwind_0514,Fino Payments Bank Ltd.,upi,859.77,captured,,3,8
pay_northwind_0515,State Bank of India,upi,873.3,captured,,4,26
pay_northwind_0516,Bank Of India,upi,26.29,captured,,1,1
pay_northwind_0517,ICICI Bank Ltd.,card,3226.46,captured,,20,7
pay_northwind_0518,State Bank of India,upi,3798.64,captured,,0,3
pay_northwind_0519,ICICI Bank Ltd.,upi,1986.32,captured,,5,24
pay_northwind_0520,Indian Bank,upi,706.94,captured,,3,24
pay_northwind_0521,Bank of Baroda,upi,139.96,captured,,0,15
pay_northwind_0522,Kotak Mahindra Bank,upi,964.52,captured,,23,24
pay_northwind_0523,Bank of Baroda,upi,731.44,captured,,2,15
pay_northwind_0524,State Bank of India,upi,80.66,captured,,2,26
pay_northwind_0525,Axis Bank Ltd.,upi,50.05,captured,,0,19
pay_northwind_0526,Bank Of India,upi,266.94,captured,,4,11
pay_northwind_0527,Kotak Mahindra Bank,upi,450.01,captured,,23,3
pay_northwind_0528,HDFC Bank Ltd.,upi,27.51,captured,,13,11
pay_northwind_0529,State Bank of India,upi,612.41,captured,,2,8
pay_northwind_0530,State Bank of India,upi,416.78,captured,,2,5
pay_northwind_0531,State Bank of India,upi,11.75,captured,,1,13
pay_northwind_0532,State Bank of India,upi,70.53,captured,,0,3
pay_northwind_0533,India Post Payments Bank Limited,upi,34.1,failed,mobile_number_invalid,4,27
pay_northwind_0534,Bank of Baroda,upi,19.81,captured,,23,24
pay_northwind_0535,State Bank of India,upi,503.75,captured,,4,24
pay_northwind_0536,State Bank of India,upi,4157.79,captured,,0,12
pay_northwind_0537,Indian Overseas Bank,netbanking,530.89,captured,,5,9
pay_northwind_0538,Axis Bank Ltd.,upi,927.04,captured,,18,9
pay_northwind_0539,Fino Payments Bank Ltd.,upi,504.97,failed,credit_limit_exceeded,0,17
pay_northwind_0540,Airtel Payments Bank Limited,upi,1602.65,failed,credit_limit_exceeded,23,9
pay_northwind_0541,Bank of Baroda,upi,723.82,captured,,0,7
pay_northwind_0542,HDFC Bank Ltd.,upi,92.24,captured,,0,27
pay_northwind_0543,Union Bank of India,upi,903.37,captured,,23,21
pay_northwind_0544,Punjab National Bank,card,80.64,captured,,16,25
pay_northwind_0545,State Bank of India,upi,147.17,failed,payment_pending,2,22
pay_northwind_0546,Kotak Mahindra Bank,upi,171.96,captured,,14,26
pay_northwind_0547,Canara Bank,upi,408.62,captured,,5,14
pay_northwind_0548,Indian Bank,upi,112.48,captured,,23,24
pay_northwind_0549,Axis Bank Ltd.,upi,336.52,captured,,5,4
pay_northwind_0550,India Post Payments Bank Limited,upi,909.1,captured,,15,8
pay_northwind_0551,HDFC Bank Ltd.,upi,78.24,captured,,4,22
pay_northwind_0552,Punjab National Bank,upi,523.04,captured,,0,16
pay_northwind_0553,State Bank of India,card,500.77,captured,,2,22
pay_northwind_0554,State Bank of India,upi,101.54,captured,,6,4
pay_northwind_0555,Canara Bank,upi,575.43,failed,invalid_order_id,2,17
pay_northwind_0556,Kotak Mahindra Bank,upi,480.55,failed,transaction_frequency_limit_exceeded,4,5
pay_northwind_0557,Bank of Baroda,upi,473.35,captured,,4,4
pay_northwind_0558,State Bank of India,upi,473.36,captured,,2,1
pay_northwind_0559,Bank of Baroda,upi,2477.61,captured,,13,24
pay_northwind_0560,Kotak Mahindra Bank,upi,897.79,captured,,20,10
pay_northwind_0561,Axis Bank Ltd.,upi,972.47,captured,,23,8
pay_northwind_0562,Punjab National Bank,upi,13947.01,captured,,23,27
pay_northwind_0563,State Bank of India,upi,103.01,captured,,19,14
pay_northwind_0564,Airtel Payments Bank Limited,upi,378.87,captured,,22,2
pay_northwind_0565,State Bank of India,upi,2573.91,captured,,15,15
pay_northwind_0566,State Bank of India,upi,92.61,captured,,1,22
pay_northwind_0567,Fino Payments Bank Ltd.,upi,110.85,captured,,15,6
pay_northwind_0568,Airtel Payments Bank Limited,upi,632.07,captured,,23,1
pay_northwind_0569,State Bank of India,upi,664.6,captured,,1,4
pay_northwind_0570,Punjab National Bank,card,1337.57,captured,,4,25
pay_northwind_0571,UCO Bank,upi,103.45,captured,,2,8
pay_northwind_0572,Bank Of India,card,142.05,captured,,22,6
pay_northwind_0573,ICICI Bank Ltd.,upi,499.88,captured,,0,26
pay_northwind_0574,Bank of Baroda,upi,23.35,captured,,14,22
pay_northwind_0575,Bank of Baroda,upi,46.23,captured,,21,25
pay_northwind_0576,Punjab National Bank,upi,1334.44,captured,,7,24
pay_northwind_0577,Punjab National Bank,upi,859.23,captured,,6,20
pay_northwind_0578,State Bank of India,upi,266.34,captured,,3,28
pay_northwind_0579,Indusind Bank Ltd.,card,386.33,captured,,12,15
pay_northwind_0580,State Bank of India,upi,678.6,captured,,2,13
pay_northwind_0581,State Bank of India,card,228.72,captured,,12,7
pay_northwind_0582,Kotak Mahindra Bank,upi,255.41,captured,,2,12
pay_northwind_0583,Kotak Mahindra Bank,upi,55.09,captured,,4,6
pay_northwind_0584,Fino Payments Bank Ltd.,upi,4269.64,failed,invalid_device,2,24
pay_northwind_0585,State Bank of India,upi,311.67,captured,,4,18
pay_northwind_0586,HDFC Bank Ltd.,upi,97.7,captured,,2,10
pay_northwind_0587,HDFC Bank Ltd.,upi,112.55,captured,,4,22
pay_northwind_0588,Axis Bank Ltd.,upi,4314.88,captured,,23,6
pay_northwind_0589,State Bank of India,netbanking,4495.06,captured,,2,6
pay_northwind_0590,HDFC Bank Ltd.,card,719.99,captured,,4,18
pay_northwind_0591,Kotak Mahindra Bank,upi,187.21,captured,,0,22
pay_northwind_0592,State Bank of India,upi,441.63,failed,payment_collect_request_expired,5,6
pay_northwind_0593,UCO Bank,upi,813.65,failed,collect_request_pending,1,20
pay_northwind_0594,State Bank of India,card,82.18,captured,,20,11
pay_northwind_0595,Indian Bank,upi,127.23,captured,,23,21
pay_northwind_0596,ICICI Bank Ltd.,upi,602.36,captured,,23,15
pay_northwind_0597,State Bank of India,upi,1722.69,failed,payment_declined,5,28
pay_northwind_0598,UCO Bank,upi,645.53,failed,payment_session_expired,2,25
pay_northwind_0599,Union Bank of India,upi,528.63,captured,,0,11
pay_northwind_0600,UCO Bank,upi,162.73,captured,,0,3
pay_northwind_0601,State Bank of India,upi,932.43,captured,,0,19
pay_northwind_0602,Bank of Baroda,upi,28.31,captured,,4,20
pay_northwind_0603,State Bank of India,upi,153.39,failed,invalid_user_details,0,13
pay_northwind_0604,Bank Of India,upi,17.45,failed,transaction_daily_limit_exceeded,5,1
pay_northwind_0605,Bank of Baroda,upi,13.72,captured,,4,25
pay_northwind_0606,State Bank of India,upi,923.43,captured,,2,17
pay_northwind_0607,State Bank of India,upi,171.18,captured,,20,10
pay_northwind_0608,State Bank of India,upi,301.8,captured,,5,3
pay_northwind_0609,Axis Bank Ltd.,upi,135.15,captured,,2,2
pay_northwind_0610,Union Bank of India,upi,835.16,failed,payment_session_expired,2,10
pay_northwind_0611,Union Bank of India,upi,274.8,captured,,3,27
pay_northwind_0612,India Post Payments Bank Limited,upi,4177.78,captured,,3,6
pay_northwind_0613,State Bank of India,upi,1948.87,captured,,2,12
pay_northwind_0614,Kotak Mahindra Bank,upi,126.2,captured,,1,13
pay_northwind_0615,State Bank of India,upi,127.45,captured,,1,7
pay_northwind_0616,State Bank of India,upi,808.48,captured,,2,2
pay_northwind_0617,Airtel Payments Bank Limited,upi,255.05,captured,,3,7
pay_northwind_0618,HDFC Bank Ltd.,upi,136.84,captured,,4,12
pay_northwind_0619,State Bank of India,upi,403.9,captured,,2,1
pay_northwind_0620,Federal Bank Ltd.,upi,235.51,captured,,0,11
pay_northwind_0621,Axis Bank Ltd.,card,992.34,captured,,6,6
pay_northwind_0622,Punjab National Bank,upi,656.72,captured,,16,2
pay_northwind_0623,Bank of Baroda,upi,50.53,captured,,2,22
pay_northwind_0624,Axis Bank Ltd.,upi,952.37,captured,,1,12
pay_northwind_0625,State Bank of India,upi,191.73,captured,,11,21
pay_northwind_0626,State Bank of India,upi,585.17,captured,,9,14
pay_northwind_0627,Kotak Mahindra Bank,upi,636.17,captured,,23,12
pay_northwind_0628,ICICI Bank Ltd.,upi,546.05,captured,,4,27
pay_northwind_0629,Bank of Baroda,upi,188.15,captured,,22,13
pay_northwind_0630,Federal Bank Ltd.,upi,483.05,captured,,23,21
pay_northwind_0631,Bank Of India,card,19.77,captured,,3,18
pay_northwind_0632,Indian Overseas Bank,upi,194.0,captured,,0,13
pay_northwind_0633,Bank of Baroda,netbanking,236.6,captured,,5,25
pay_northwind_0634,Union Bank of India,upi,111.11,captured,,23,26
pay_northwind_0635,State Bank of India,upi,1136.18,captured,,3,2
pay_northwind_0636,HDFC Bank Ltd.,upi,278.3,captured,,21,13
pay_northwind_0637,State Bank of India,upi,257.2,captured,,15,10
pay_northwind_0638,Union Bank of India,netbanking,98.22,captured,,23,9
pay_northwind_0639,Union Bank of India,upi,911.89,captured,,1,12
pay_northwind_0640,Kotak Mahindra Bank,upi,194.4,captured,,1,6
pay_northwind_0641,State Bank of India,upi,260.55,captured,,3,6
pay_northwind_0642,Axis Bank Ltd.,upi,601.53,captured,,1,9
pay_northwind_0643,Airtel Payments Bank Limited,upi,18.21,failed,insufficient_funds,0,1
pay_northwind_0644,Indian Bank,upi,311.73,captured,,4,19
pay_northwind_0645,Indian Bank,upi,997.46,captured,,20,25
pay_northwind_0646,Punjab National Bank,upi,966.93,captured,,0,11
pay_northwind_0647,Indusind Bank Ltd.,upi,188.15,captured,,5,2
pay_northwind_0648,State Bank of India,upi,3174.21,failed,transaction_frequency_limit_exceeded,0,18
pay_northwind_0649,Bank of Maharashtra,upi,189.5,captured,,3,22
pay_northwind_0650,ICICI Bank Ltd.,card,69.1,captured,,0,25
pay_northwind_0651,Bank of Baroda,card,161.03,captured,,2,1
pay_northwind_0652,ICICI Bank Ltd.,upi,974.12,captured,,4,19
pay_northwind_0653,Punjab National Bank,upi,694.4,captured,,2,12
pay_northwind_0654,Bank of Maharashtra,upi,133.44,captured,,3,5
pay_northwind_0655,Indian Bank,upi,4753.74,captured,,8,14
pay_northwind_0656,Union Bank of India,upi,567.57,captured,,3,11
pay_northwind_0657,India Post Payments Bank Limited,upi,261.63,captured,,0,1
pay_northwind_0658,Central Bank of India,upi,439.44,captured,,23,7
pay_northwind_0659,Union Bank of India,upi,47.82,captured,,0,28
pay_northwind_0660,State Bank of India,upi,194.09,captured,,0,22
pay_northwind_0661,State Bank of India,card,980.54,captured,,5,23
pay_northwind_0662,State Bank of India,upi,218.63,failed,otp_attempts_exceeded,23,3
pay_northwind_0663,Central Bank of India,upi,929.41,failed,transaction_daily_limit_exceeded,3,25
pay_northwind_0664,Union Bank of India,upi,144.88,captured,,23,19
pay_northwind_0665,Indian Bank,card,65.13,captured,,0,14
pay_northwind_0666,State Bank of India,upi,423.47,captured,,0,2
pay_northwind_0667,State Bank of India,card,1820.35,captured,,4,9
pay_northwind_0668,State Bank of India,upi,233.4,failed,payment_risk_check_failed,5,16
pay_northwind_0669,Kotak Mahindra Bank,upi,4.48,captured,,14,1
pay_northwind_0670,HDFC Bank Ltd.,upi,142.54,captured,,0,23
pay_northwind_0671,Canara Bank,upi,132.52,captured,,3,28
pay_northwind_0672,Indusind Bank Ltd.,upi,33.44,captured,,5,18
pay_northwind_0673,State Bank of India,upi,51.46,captured,,4,25
pay_northwind_0674,Axis Bank Ltd.,card,583.16,captured,,3,11
pay_northwind_0675,UCO Bank,card,140.0,captured,,0,21
pay_northwind_0676,State Bank of India,upi,678.99,captured,,2,25
pay_northwind_0677,ICICI Bank Ltd.,upi,196.09,failed,insufficient_funds,4,2
pay_northwind_0678,Kotak Mahindra Bank,upi,4201.47,failed,transaction_daily_limit_exceeded,23,12
pay_northwind_0679,Bank of Maharashtra,upi,817.58,captured,,11,19
pay_northwind_0680,Punjab National Bank,upi,968.54,captured,,0,27
pay_northwind_0681,Union Bank of India,upi,911.8,failed,otp_attempts_exceeded,4,23
pay_northwind_0682,Union Bank of India,card,366.09,captured,,5,17
pay_northwind_0683,Indian Bank,upi,613.04,captured,,2,2
pay_northwind_0684,Union Bank of India,upi,14089.04,captured,,15,4
pay_northwind_0685,State Bank of India,upi,776.78,captured,,1,20
pay_northwind_0686,Axis Bank Ltd.,upi,297.97,captured,,5,22
pay_northwind_0687,State Bank of India,upi,2452.08,captured,,5,6
pay_northwind_0688,State Bank of India,upi,515.67,captured,,9,4
pay_northwind_0689,Canara Bank,upi,46.89,failed,bank_account_validation_failed,5,11
pay_northwind_0690,Punjab National Bank,upi,4774.98,captured,,19,19
pay_northwind_0691,HDFC Bank Ltd.,card,992.51,captured,,5,27
pay_northwind_0692,State Bank of India,upi,927.91,failed,incorrect_otp,23,25
pay_northwind_0693,ICICI Bank Ltd.,upi,388.51,captured,,2,5
pay_northwind_0694,Central Bank of India,upi,386.15,captured,,22,15
pay_northwind_0695,State Bank of India,card,785.84,captured,,22,28
pay_northwind_0696,Canara Bank,upi,67.43,failed,payment_failed,17,10
pay_northwind_0697,Central Bank of India,upi,265.5,captured,,3,11
pay_northwind_0698,State Bank of India,upi,123.29,failed,credit_limit_expired,1,24
pay_northwind_0699,Canara Bank,upi,393.32,captured,,4,18
pay_northwind_0700,Union Bank of India,upi,130.29,captured,,3,18
pay_northwind_0701,State Bank of India,upi,480.87,captured,,2,17
pay_northwind_0702,State Bank of India,upi,338.8,captured,,4,7
pay_northwind_0703,State Bank of India,upi,616.01,failed,collect_request_pending,2,27
pay_northwind_0704,State Bank of India,upi,264.37,captured,,3,15
pay_northwind_0705,State Bank of India,upi,860.86,captured,,0,18
pay_northwind_0706,Union Bank of India,upi,250.55,failed,bank_account_invalid,4,28
pay_northwind_0707,State Bank of India,upi,86.6,captured,,23,24
pay_northwind_0708,State Bank of India,upi,667.41,failed,payment_declined,3,9
pay_northwind_0709,Axis Bank Ltd.,upi,44.4,captured,,10,10
pay_northwind_0710,India Post Payments Bank Limited,upi,489.83,captured,,3,27
pay_northwind_0711,State Bank of India,upi,3320.75,captured,,5,5
pay_northwind_0712,Union Bank of India,card,540.17,captured,,4,2
pay_northwind_0713,Central Bank of India,upi,913.2,captured,,2,19
pay_northwind_0714,ICICI Bank Ltd.,upi,316.24,captured,,4,6
pay_northwind_0715,State Bank of India,upi,763.13,captured,,5,14
pay_northwind_0716,Bank of Baroda,upi,2862.31,failed,transaction_daily_limit_exceeded,11,5
pay_northwind_0717,HDFC Bank Ltd.,upi,12.41,captured,,4,23
pay_northwind_0718,Kotak Mahindra Bank,card,845.58,captured,,23,15
pay_northwind_0719,Punjab National Bank,upi,60.35,captured,,23,4
pay_northwind_0720,India Post Payments Bank Limited,upi,83.46,captured,,5,10
pay_northwind_0721,HDFC Bank Ltd.,upi,48.28,failed,payment_pending,5,8
pay_northwind_0722,State Bank of India,upi,801.29,captured,,4,13
pay_northwind_0723,Fino Payments Bank Ltd.,upi,116.95,captured,,5,23
pay_northwind_0724,Central Bank of India,card,538.31,captured,,23,28
pay_northwind_0725,Axis Bank Ltd.,card,960.34,failed,payment_cancelled,5,16
pay_northwind_0726,State Bank of India,upi,413.0,captured,,13,10
pay_northwind_0727,Bank of Baroda,upi,874.13,captured,,4,28
pay_northwind_0728,Union Bank of India,upi,14695.94,captured,,4,27
pay_northwind_0729,State Bank of India,upi,686.24,captured,,1,24
pay_northwind_0730,State Bank of India,upi,35.58,captured,,1,17
pay_northwind_0731,Bank Of India,upi,337.05,captured,,3,26
pay_northwind_0732,Canara Bank,upi,97.77,captured,,15,8
pay_northwind_0733,Bank of Baroda,upi,125.9,captured,,12,6
pay_northwind_0734,Bank of Baroda,upi,834.21,captured,,23,10
pay_northwind_0735,Airtel Payments Bank Limited,upi,55.15,failed,payment_collect_request_expired,3,11
pay_northwind_0736,State Bank of India,upi,127.99,captured,,3,16
pay_northwind_0737,Bank of Maharashtra,upi,855.83,failed,authentication_failed,13,23
pay_northwind_0738,Bank of Baroda,upi,126.6,captured,,0,21
pay_northwind_0739,State Bank of India,upi,384.19,captured,,23,13
pay_northwind_0740,Axis Bank Ltd.,upi,677.67,captured,,4,3
pay_northwind_0741,HDFC Bank Ltd.,upi,9658.24,captured,,2,18
pay_northwind_0742,Axis Bank Ltd.,upi,105.54,captured,,2,7
pay_northwind_0743,State Bank of India,upi,95.77,captured,,5,18
pay_northwind_0744,HDFC Bank Ltd.,upi,487.19,failed,collect_request_pending,23,26
pay_northwind_0745,Fino Payments Bank Ltd.,upi,1878.43,captured,,23,3
pay_northwind_0746,State Bank of India,upi,97.92,captured,,3,28
pay_northwind_0747,State Bank of India,upi,571.1,captured,,3,28
pay_northwind_0748,HDFC Bank Ltd.,upi,22.05,captured,,5,4
pay_northwind_0749,Union Bank of India,card,391.24,captured,,5,5
pay_northwind_0750,HDFC Bank Ltd.,upi,25.88,captured,,0,15
pay_northwind_0751,State Bank of India,upi,97.03,captured,,0,11
pay_northwind_0752,HDFC Bank Ltd.,upi,709.91,captured,,0,1
pay_northwind_0753,Punjab National Bank,upi,2727.66,captured,,4,25
pay_northwind_0754,HDFC Bank Ltd.,upi,612.2,captured,,23,7
pay_northwind_0755,ICICI Bank Ltd.,card,518.84,captured,,4,5
pay_northwind_0756,State Bank of India,upi,60.86,captured,,13,9
pay_northwind_0757,ICICI Bank Ltd.,card,183.98,failed,credit_limit_exceeded,4,19
pay_northwind_0758,Bank of Baroda,upi,902.27,captured,,19,9
pay_northwind_0759,Indian Bank,upi,2.39,captured,,4,14
pay_northwind_0760,State Bank of India,upi,3296.74,captured,,16,28
pay_northwind_0761,State Bank of India,upi,68.67,captured,,0,23
pay_northwind_0762,State Bank of India,card,98.85,failed,payment_declined,0,5
pay_northwind_0763,Bank Of India,upi,814.98,captured,,5,10
pay_northwind_0764,Canara Bank,upi,280.85,captured,,5,21
pay_northwind_0765,Punjab National Bank,upi,82.32,captured,,0,16
pay_northwind_0766,Fino Payments Bank Ltd.,upi,312.18,captured,,1,24
pay_northwind_0767,Bank Of India,upi,420.07,failed,merchant_not_activated,3,6
pay_northwind_0768,Central Bank of India,upi,2571.93,captured,,1,18
pay_northwind_0769,Central Bank of India,upi,3730.67,captured,,13,9
pay_northwind_0770,State Bank of India,upi,563.93,captured,,1,12
pay_northwind_0771,Union Bank of India,upi,673.97,captured,,0,3
pay_northwind_0772,State Bank of India,upi,134.8,captured,,12,3
pay_northwind_0773,State Bank of India,upi,1025.5,captured,,1,2
pay_northwind_0774,ICICI Bank Ltd.,upi,336.45,captured,,5,3
pay_northwind_0775,Indian Overseas Bank,upi,3995.04,captured,,0,15
pay_northwind_0776,Bank of Maharashtra,upi,38.56,captured,,5,2
pay_northwind_0777,HDFC Bank Ltd.,upi,32.29,captured,,3,28
pay_northwind_0778,Airtel Payments Bank Limited,upi,718.33,captured,,6,5
pay_northwind_0779,Bank of Baroda,upi,913.4,captured,,0,21
